cvid,HT,FT,YLD
CV93,0.45750148702177,0.7452223527141979,0.525294758536094
CV94,0.500361461166524,0.780334260776779,0.567247117332327
CV95,0.47014735486877596,0.7275647935680559,0.5526746756976079
CV96,0.476503965233863,0.7828292161593651,0.53426729681748
CV97,0.44917296300568393,0.729468522792692,0.558323452413533
CV98,0.47087312589950897,0.7912461119165219,0.525509656661826
CV99,0.470363408380682,0.7777491531728001,0.5671914784390361
CV100,0.47203018015936404,0.7179593645031229,0.559561664750465
mean,0.46268032830200945,0.764283664933987,0.5419514767760559
std,0.020075993829120873,0.024841040103783407,0.015367135961476427
