Phe,Random_ID,10KB-mean,10KB-std,50KB-mean,50KB-std,100KB-mean,100KB-std,500KB-mean,500KB-std,1000KB-mean,1000KB-std,2000KB-mean,2000KB-std
FT,random_2,0.690305574532909,0.021118526281979,0.682584324654389,0.023534106189723,0.675689351031207,0.02458250497511,0.687515982614217,0.026175654902509,0.639201634243808,0.031821141751705,0.612321044496036,0.031997567376405
FT,random_3,0.69661465102152,0.025000108907556,0.691355645092514,0.024826970513486,0.683909705307593,0.026554417761202,0.682052676424022,0.026041651288112,0.686945772622869,0.0256630916973,0.596146888303001,0.036002262288322
FT,random_4,0.688393577289481,0.0252392881416,0.674847580500163,0.027207783145602,0.678025861727479,0.025630827067168,0.684786570348774,0.029459060524227,0.635239974172364,0.032715992034744,0.614564071752836,0.025981422674782
FT,random_5,0.688622886229261,0.024151863410061,0.668660017264709,0.026674528975824,0.67887316816658,0.023015372260865,0.657231570227853,0.030025669153258,0.634801323865395,0.027392647959471,0.60616013622954,0.0335661866781
FT,random_6,0.692608755388571,0.020514339032476,0.702585181440283,0.022841089414683,0.682338658945646,0.026180236880674,0.673412658698962,0.025667744395745,0.630532866846881,0.031195153916225,0.640111207841985,0.033392698506781
FT,random_7,0.689010207410598,0.022918397321274,0.650142790602314,0.026735536177304,0.66582704634653,0.026840484057229,0.655757589245003,0.027961876271789,0.656719288651042,0.029714911601073,0.604856745411208,0.03297575619824
FT,random_8,0.671060404599354,0.024328420066685,0.6825617980683,0.025497987972984,0.686880220115868,0.024523119055054,0.698189666884281,0.027437483663758,0.663605444187438,0.031450215410953,0.661506893594133,0.031839103782399
FT,random_9,0.697847294405498,0.023103172300363,0.67798863053601,0.027249112846466,0.674251053680314,0.025602437824612,0.675527017107806,0.027866766537001,0.666152585602448,0.022507155891866,0.649085530256919,0.030762565293472
FT,summery,0.689041567306687,0.008500415251973,0.678204107005648,0.013971822152849,0.677252230650911,0.005835301509139,0.675345918255769,0.012796406939775,0.653452465978498,0.017120673116199,0.622042733388017,0.022493798749704
YLD,random_0,0.497072223299741,0.022161046815687,0.507840053516685,0.01925819079924,0.466237508289937,0.024792069365382,0.50994697427224,0.023199713745487,0.47362459909837,0.023379254994112,0.435578623549668,0.024338099484888
YLD,random_1,0.493494177538123,0.020158961804431,0.475746096799962,0.023537488184569,0.490205277546626,0.023316097662078,0.502404007463632,0.02087117139064,0.46892429511828,0.027737027038965,0.47811175806859,0.02208355714305
