Phe,fnumber,cvid,pearson_random0,pearson_randomRandom_1,pearson_random2,pearson_randomRandom_3,pearson_random4,pearson_randomRandom_5,pearson_random6,pearson_randomRandom_7,pearson_random8,pearson_randomRandom_9,pearson_mean
DTT,12,cv28,0.267130708990736,0.27560174645903496,0.33831296412973805,0.140868595273715,0.26674430411150196,0.24910830621154398,0.196751152810414,0.262524545327237,0.400016615383432,0.24690260415590598,0.2643961542853259
DTT,12,cv29,0.251807183027865,0.33799603044319704,0.329189439084918,0.352334406749997,0.36138378931768395,0.27157852837035,0.302580969382514,0.245733706057876,0.38241837032299103,0.358065739853883,0.31930881626112745
DTT,24,cv0,0.389950620637386,0.3679578184926121,0.44256968174319,0.35072297063157903,0.392595286367044,0.319956432961002,0.30740639498114397,0.393129996680747,0.45734940676549,0.323130017804367,0.3744768627064561
DTT,24,cv1,0.31856173799072496,0.40189111076830797,0.30563062597789603,0.38678341723792603,0.38560545686385206,0.389122683014609,0.37108629489371703,0.40312877778466905,0.436578273454284,0.36710041759528494,0.3765488795581271
DTT,24,cv2,0.310865951475784,0.408396956825424,0.395062430768086,0.45121909576325203,0.321183820033279,0.41981391283505204,0.322463907699078,0.335928966575086,0.40222262819815396,0.307391318321332,0.3674548988494527
DTT,24,cv4,0.29383553453575606,0.353086317619896,0.378261539216805,0.41098717473441293,0.381644902332062,0.357246509100681,0.336560430537266,0.34991186296836896,0.404280514038563,0.409069743238937,0.3674884528322748
DTT,24,cv3,0.35750538700406204,0.42142014681791795,0.37127241257941707,0.450859356343793,0.3996749126011261,0.40136811644155396,0.338053905904083,0.406163416466097,0.47603503687550996,0.432249703210625,0.40546023942441856
DTT,24,cv5,0.371883013827011,0.31671922018155396,0.40239806760611696,0.38549213163612395,0.45157314578818397,0.283611558996977,0.379508416337691,0.397326086686066,0.37767799843919897,0.313270425000283,0.3679460064499206
DTT,24,cv6,0.302491228659962,0.34294278613316903,0.28303396490800203,0.39260062977221993,0.390044543323225,0.36702739085894504,0.259645680396781,0.384618636315775,0.357474150008669,0.23575080972676501,0.3315629820103513
DTT,24,cv7,0.38260482234776794,0.47302014706546797,0.4396067864968611,0.5064427096631889,0.48840572892828493,0.40641437208922,0.311932365035174,0.37282739902384204,0.4243774304008371,0.460706401640761,0.42663381626914043
DTT,24,cv9,0.27266890176702396,0.281349722290568,0.344210511314286,0.387416611156414,0.34760400742356395,0.368712738196478,0.282679188067508,0.24503486033396898,0.34162492076906303,0.284410827251605,0.3155712288570479
DTT,24,cv8,0.361034143379573,0.349152299275494,0.391687987416077,0.381240327698007,0.517669499563213,0.35237802925700396,0.356033455953106,0.382799364782446,0.36309665251413703,0.40078321991721505,0.3855874979756272
DTT,24,cv10,0.344024321459987,0.413136871230105,0.404455480733654,0.443049350776965,0.496389315414911,0.33901481723160803,0.305068610176924,0.371620441507726,0.430454951269627,0.39459913105936295,0.39418132908608705
DTT,24,cv11,0.289616715050826,0.376760978942234,0.41839979890672707,0.4167299325141379,0.37635774365766494,0.398056520127909,0.283011291185382,0.274664324685697,0.36312765929253005,0.324460904889923,0.35211858692530307
DTT,24,cv12,0.357642908841712,0.40845344077543794,0.35593920072878293,0.43345784087338396,0.381229027967128,0.475064115069015,0.40963506393057597,0.456947228724729,0.448266855989075,0.43280028984394103,0.4159435972743781
DTT,24,cv13,0.318834213015819,0.418580996167999,0.36700093866822,0.360173685735266,0.378365710694691,0.3598178740956121,0.30992323010261497,0.324813131782273,0.391309265470127,0.379472528761651,0.36082915744942734
DTT,24,cv14,0.359721224817029,0.35964699157423896,0.460062010575599,0.441841149683178,0.392548629729373,0.415122799722059,0.297298495279492,0.441330609671424,0.428326942810465,0.373984273861729,0.3969883127724587
DTT,24,cv15,0.37099623375201596,0.397221388373834,0.40881568622782,0.416157245779064,0.38867926202445796,0.38419238242590503,0.26697867644528,0.369859897663325,0.38619982601296904,0.39138121340785703,0.3780481812112528
DTT,24,cv16,0.372146653965006,0.4407710822643571,0.37473707503739,0.417479205622312,0.473592583247162,0.472054575838454,0.37175541830752,0.4040292219083089,0.473409001860748,0.39566480832704604,0.41956396263783047
DTT,24,cv17,0.31709499064731894,0.33135725141467,0.37735776953599,0.346627176106631,0.38474508684468894,0.412644839891296,0.28709996103470603,0.324058892308127,0.430131111087574,0.34195304861338804,0.355307012748439
DTT,24,cv18,0.30212119975775104,0.34253121140521603,0.34249252493353194,0.387591808923375,0.46621140620981,0.420149393616509,0.33673099066686696,0.334156788139868,0.46728124266328996,0.38571735772259896,0.37849839240388167
