Phe,random_id,fnumber,cvid,pearson
DTT,Random_6,48,cv13,0.418416619305708
DTT,Random_6,48,cv14,0.496254050539109
DTT,Random_6,48,cv15,0.386365982074798
DTT,Random_6,48,cv16,0.456528110291857
DTT,Random_6,48,cv18,0.466492303226196
DTT,Random_6,48,cv17,0.450305548448733
DTT,Random_6,48,cv20,0.484647774311794
DTT,Random_6,48,cv19,0.41997702116318
DTT,Random_6,48,cv21,0.437481280732926
DTT,Random_6,48,cv22,0.491671709338811
DTT,Random_6,48,cv23,0.476237569557737
DTT,Random_6,48,cv24,0.385048491333011
DTT,Random_6,48,cv25,0.439352131875727
DTT,Random_6,48,cv26,0.454365440955669
DTT,Random_6,48,cv27,0.411936715010901
DTT,Random_6,48,cv28,0.459379453203143
DTT,Random_6,48,cv29,0.472307661037954
DTT,Random_6,96,cv0,0.453035917513015
DTT,Random_6,96,cv1,0.416419989735548
DTT,Random_6,96,cv2,0.46778565110704
DTT,Random_6,96,cv3,0.519410403575667
DTT,Random_6,96,cv4,0.439217058806005
DTT,Random_6,96,cv5,0.430122738562594
DTT,Random_6,96,cv6,0.368166713566052
DTT,Random_6,96,cv7,0.525721135965547
DTT,Random_6,96,cv8,0.443186554012296
DTT,Random_6,96,cv9,0.455937737793207
DTT,Random_6,96,cv10,0.467853198490807
DTT,Random_6,96,cv11,0.413509573733145
DTT,Random_6,96,cv12,0.515042885463037
DTT,Random_6,96,cv13,0.438486403497274
DTT,Random_6,96,cv14,0.492977341227569
DTT,Random_6,96,cv15,0.408079649085376
DTT,Random_6,96,cv16,0.484151381252106
DTT,Random_6,96,cv17,0.456677940348921
DTT,Random_6,96,cv18,0.455308375632136
DTT,Random_6,96,cv19,0.435319363470033
DTT,Random_6,96,cv20,0.466961275552203
DTT,Random_6,96,cv21,0.44434711623942
DTT,Random_6,96,cv22,0.477428997132416
DTT,Random_6,96,cv23,0.494656527841916
DTT,Random_6,96,cv24,0.416885187745497
DTT,Random_6,96,cv25,0.488771055355424
DTT,Random_6,96,cv26,0.499222591685566
DTT,Random_6,96,cv27,0.395921949815021
DTT,Random_6,96,cv28,0.458366258131651
DTT,Random_6,96,cv29,0.468145495130183
DTT,Random_6,192,cv0,0.520608008184929
DTT,Random_6,192,cv1,0.487657659960777
DTT,Random_6,192,cv2,0.502211812736257
