Phe,fnumber,cvid,pearson
DTT,96,cv7,0.6196405709340493
DTT,96,cv8,0.562298024907681
DTT,96,cv9,0.5230578711076456
DTT,96,cv10,0.5357210974949655
DTT,96,cv11,0.5444574672116075
DTT,96,cv12,0.5918143176545647
DTT,96,cv13,0.5961495529524407
DTT,96,cv14,0.6166352382034267
DTT,96,cv16,0.628252947845384
DTT,96,cv17,0.5995454983784867
DTT,96,cv18,0.5706110280187412
DTT,96,cv19,0.5682620653619579
DTT,96,cv20,0.6021791328126153
DTT,96,cv21,0.5594541729424789
DTT,96,cv22,0.625039423429425
DTT,96,cv23,0.5872260840750148
DTT,96,cv15,0.5460376791344429
DTT,96,cv24,0.5073506290243266
DTT,96,cv25,0.5989021888494558
DTT,96,cv26,0.5753675421227802
DTT,96,cv27,0.5726983736342742
DTT,96,cv28,0.5755171122957308
DTT,96,cv29,0.6094508403035944
DTT,192,cv0,0.5876583462112244
DTT,192,cv1,0.5996104500446668
DTT,192,cv2,0.5966321410631121
DTT,192,cv3,0.6319926035490048
DTT,192,cv4,0.6003298256395814
DTT,192,cv5,0.5731270374091204
DTT,192,cv6,0.536361242882277
DTT,192,cv7,0.6255785872107387
DTT,192,cv8,0.5764255995391776
DTT,192,cv9,0.5344042727846656
DTT,192,cv10,0.5336875540113879
DTT,192,cv12,0.6390420403379438
DTT,192,cv11,0.5753098180564562
DTT,192,cv13,0.5999947541561388
DTT,192,cv14,0.6504332596060698
DTT,192,cv15,0.5676442660168244
DTT,192,cv16,0.666496608285037
DTT,192,cv17,0.5662654292027072
DTT,192,cv18,0.5881950023550209
DTT,192,cv19,0.5859494161843997
DTT,192,cv20,0.6339514644351644
DTT,192,cv21,0.5434518646597755
DTT,192,cv22,0.6464706722884173
DTT,192,cv23,0.5990661534615525
DTT,192,cv24,0.5147843314150509
DTT,192,cv25,0.607908345567385
DTT,192,cv27,0.5828082473483716
DTT,192,cv28,0.5830641192822361
DTT,192,cv26,0.5990770906175817
DTT,192,cv29,0.6389338539021284
DTT,384,cv0,0.6197258307783827
DTT,384,cv3,0.6386431445976888
DTT,384,cv1,0.6232235216022946
DTT,384,cv2,0.5933930638591283
DTT,384,cv4,0.6009965907966008
DTT,384,cv5,0.5954716476458322
DTT,384,cv6,0.5401246761884276
DTT,384,cv8,0.6034973092166765
DTT,384,cv7,0.6187992213325233
DTT,384,cv9,0.5422414101724244
DTT,384,cv10,0.5554074848728844
DTT,384,cv11,0.5721534292266423
DTT,384,cv12,0.6371644318954822
DTT,384,cv13,0.6236269222538505
DTT,384,cv14,0.6710521399406677
DTT,384,cv15,0.5773824273898784
DTT,384,cv16,0.6639461686794778
DTT,384,cv17,0.5917663625047808
DTT,384,cv19,0.5911442249727805
DTT,384,cv18,0.6260473826444465
DTT,384,cv20,0.648543364451032
DTT,384,cv21,0.5639967758013349
DTT,384,cv22,0.6541637839243915
DTT,384,cv23,0.6113927356939814
DTT,384,cv24,0.5259606099778116
DTT,384,cv26,0.6234995169639443
DTT,384,cv28,0.5873345013754305
DTT,384,cv27,0.5801212093158004
DTT,384,cv25,0.6050661986937867
DTT,384,cv29,0.6457893016831029
DTT,1000,cv0,0.6193497920267188
DTT,1000,cv1,0.6365590019330314
DTT,1000,cv4,0.593334920221187
DTT,1000,cv5,0.5913393004323408
DTT,1000,cv6,0.5538942734215077
DTT,1000,cv7,0.6371803008395838
DTT,1000,cv2,0.5985375752489769
DTT,1000,cv3,0.6375401062657344
DTT,1000,cv8,0.6068647309046709
DTT,1000,cv9,0.5532917808758229
DTT,1000,cv10,0.5667085668965455
DTT,1000,cv11,0.5883239802278897
DTT,1000,cv12,0.6522871115997256
DTT,1000,cv13,0.6407978666064813
DTT,1000,cv14,0.670066647681612
DTT,1000,cv15,0.5797483362507649
DTT,1000,cv16,0.6704365405770167
DTT,1000,cv17,0.6109571986188709
DTT,1000,cv18,0.6399995274471824
DTT,1000,cv19,0.5880699847412586
DTT,1000,cv20,0.636816610837166
DTT,1000,cv21,0.5868658751301183
DTT,1000,cv22,0.6726102621964223
DTT,1000,cv23,0.6228748812683715
DTT,1000,cv24,0.5268604476018971
DTT,1000,cv25,0.6063337192242515
DTT,1000,cv26,0.6143061205899226
DTT,1000,cv27,0.5903251920563177
DTT,1000,cv28,0.6080792343995285
DTT,1000,cv29,0.6438972981756013
DTT,2000,cv0,0.6193497920267188
DTT,2000,cv1,0.6365590019330314
DTT,2000,cv2,0.5985375752489769
DTT,2000,cv3,0.6375401062657344
DTT,2000,cv4,0.593334920221187
DTT,2000,cv5,0.5961775539343286
DTT,2000,cv6,0.5584889929366635
DTT,2000,cv7,0.6371803008395838
DTT,2000,cv8,0.6068647309046709
DTT,2000,cv9,0.5532917808758229
DTT,2000,cv10,0.5667085668965455
DTT,2000,cv11,0.5883239802278897
DTT,2000,cv12,0.6522871115997256
DTT,2000,cv13,0.6407978666064813
DTT,2000,cv14,0.670066647681612
DTT,2000,cv15,0.5829060645023161
DTT,2000,cv16,0.6704365405770167
DTT,2000,cv17,0.6109571986188709
DTT,2000,cv18,0.6399995274471824
DTT,2000,cv19,0.5879013891228801
DTT,2000,cv20,0.636816610837166
DTT,2000,cv21,0.5868658751301183
DTT,2000,cv22,0.6726102621964223
DTT,2000,cv23,0.6228748812683715
DTT,2000,cv24,0.5268604476018971
DTT,2000,cv25,0.6063337192242515
DTT,2000,cv26,0.6143061205899226
DTT,2000,cv28,0.6080792343995285
DTT,2000,cv27,0.5903251920563177
DTT,2000,cv29,0.6438972981756013
DTT,3000,cv0,0.6193497920267188
DTT,3000,cv1,0.6365590019330314
DTT,3000,cv2,0.5985375752489769
DTT,3000,cv3,0.6375401062657344
DTT,3000,cv4,0.593334920221187
DTT,3000,cv5,0.5961775539343286
DTT,3000,cv6,0.5584889929366635
DTT,3000,cv7,0.6371803008395838
DTT,3000,cv8,0.6068647309046709
DTT,3000,cv9,0.5532917808758229
DTT,3000,cv10,0.5667085668965455
DTT,3000,cv11,0.5883239802278897
DTT,3000,cv12,0.6522871115997256
DTT,3000,cv13,0.6407978666064813
DTT,3000,cv14,0.670066647681612
DTT,3000,cv15,0.5829060645023161
DTT,3000,cv16,0.6704365405770167
DTT,3000,cv17,0.6109571986188709
DTT,3000,cv18,0.6399995274471824
DTT,3000,cv19,0.5879013891228801
DTT,3000,cv20,0.636816610837166
DTT,3000,cv21,0.5868658751301183
DTT,3000,cv22,0.6726102621964223
DTT,3000,cv23,0.6228748812683715
DTT,3000,cv24,0.5268604476018971
DTT,3000,cv25,0.6063337192242515
DTT,3000,cv27,0.5903251920563177
DTT,3000,cv28,0.6080792343995285
DTT,3000,cv26,0.6143061205899226
DTT,3000,cv29,0.6438972981756013
DTT,4000,cv0,0.6193497920267188
DTT,4000,cv3,0.6375401062657344
DTT,4000,cv1,0.6365590019330314
DTT,4000,cv2,0.5985375752489769
DTT,4000,cv4,0.593334920221187
DTT,4000,cv5,0.5961775539343286
DTT,4000,cv6,0.5584889929366635
DTT,4000,cv7,0.6371803008395838
DTT,4000,cv8,0.6068647309046709
DTT,4000,cv9,0.5532917808758229
DTT,4000,cv10,0.5667085668965455
DTT,4000,cv11,0.5883239802278897
DTT,4000,cv12,0.6522871115997256
DTT,4000,cv13,0.6407978666064813
DTT,4000,cv14,0.670066647681612
DTT,4000,cv15,0.5829060645023161
DTT,4000,cv16,0.6704365405770167
DTT,4000,cv18,0.6399995274471824
DTT,4000,cv17,0.6109571986188709
DTT,4000,cv19,0.5879013891228801
DTT,4000,cv20,0.636816610837166
DTT,4000,cv21,0.5868658751301183
DTT,4000,cv22,0.6726102621964223
DTT,4000,cv23,0.6228748812683715
DTT,4000,cv24,0.5268604476018971
DTT,4000,cv25,0.6063337192242515
DTT,4000,cv26,0.6143061205899226
DTT,4000,cv27,0.5903251920563177
DTT,4000,cv28,0.6080792343995285
DTT,4000,cv29,0.6438972981756013
DTT,All,cv1,0.6365590019330314
DTT,All,cv4,0.593334920221187
DTT,All,cv0,0.6193497920267188
DTT,All,cv2,0.5985375752489769
DTT,All,cv3,0.6376044468059474
DTT,All,cv5,0.5961775539343286
DTT,All,cv7,0.6371803008395838
DTT,All,cv6,0.5585327064784696
DTT,All,cv9,0.5532917808758229
DTT,All,cv8,0.6068298047109546
DTT,All,cv10,0.5667085668965455
DTT,All,cv11,0.5886649393555434
DTT,All,cv12,0.6520998630013563
DTT,All,cv13,0.6407978666064813
DTT,All,cv15,0.5829060645023161
DTT,All,cv14,0.6698779973047233
DTT,All,cv16,0.6705169417704713
DTT,All,cv18,0.6399995274471824
DTT,All,cv20,0.636816610837166
DTT,All,cv17,0.6109571986188709
DTT,All,cv19,0.5879013891228801
DTT,All,cv22,0.6726102621964223
DTT,All,cv21,0.5868658751301183
DTT,All,cv23,0.6228748812683715
DTT,All,cv25,0.6063337192242515
DTT,All,cv27,0.5904783547236369
DTT,All,cv24,0.5268438857286697
DTT,All,cv28,0.6078705110947973
DTT,All,cv26,0.6143061205899226
DTT,All,cv29,0.6438972981756013
PH,12,cv0,0.5515969193682981
PH,12,cv1,0.44848592849902996
PH,12,cv2,0.5393922355492479
PH,12,cv3,0.42798427192582267
PH,12,cv4,0.4431441613193746
PH,12,cv5,0.5231551060251298
PH,12,cv6,0.4635468358642093
PH,12,cv7,0.4959209605536748
PH,12,cv8,0.5042510489450069
PH,12,cv9,0.47573329530880376
PH,12,cv10,0.49339672488642555
PH,12,cv11,0.43688102123597045
PH,12,cv12,0.4335612361782222
PH,12,cv13,0.4305451563055589
PH,12,cv14,0.41366454074334547
PH,12,cv15,0.5246365064339503
PH,12,cv16,0.4424998846024321
PH,12,cv17,0.4894436207083914
PH,12,cv18,0.483637642697037
PH,12,cv19,0.4893560594366485
PH,12,cv20,0.3939768354194041
