Phe,fnumber,cvid,pearson
DTT,24,cv29,0.327569216120289
DTT,48,cv0,0.429986325228889
DTT,48,cv1,0.377775536501338
DTT,48,cv2,0.367566962952649
DTT,48,cv4,0.412795466181131
DTT,48,cv5,0.402221166674174
DTT,48,cv3,0.431040865671004
DTT,48,cv6,0.338053332584638
DTT,48,cv7,0.486183040999474
DTT,48,cv8,0.496473849166991
DTT,48,cv9,0.332411306788375
DTT,48,cv10,0.46687865515864
DTT,48,cv11,0.404160614482875
DTT,48,cv12,0.468864877667895
DTT,48,cv13,0.485307980522513
DTT,48,cv14,0.49967018465607
DTT,48,cv15,0.33594080402712
DTT,48,cv16,0.502259944420114
DTT,48,cv17,0.453237308955962
DTT,48,cv18,0.349346553827899
DTT,48,cv20,0.422794893113685
DTT,48,cv19,0.386503042133527
DTT,48,cv21,0.444068892958883
DTT,48,cv22,0.475646707741119
DTT,48,cv23,0.479650573255439
DTT,48,cv24,0.395176444558952
DTT,48,cv25,0.429785829071549
DTT,48,cv26,0.496724109161454
DTT,48,cv27,0.441233604085402
DTT,48,cv28,0.395512149243538
DTT,48,cv29,0.387595051639378
DTT,96,cv0,0.535246894251882
DTT,96,cv3,0.533485903632136
DTT,96,cv1,0.468625723958517
DTT,96,cv2,0.488095871762536
DTT,96,cv4,0.488590506799186
DTT,96,cv5,0.453665359797526
DTT,96,cv6,0.460100029485123
DTT,96,cv7,0.550278897801381
DTT,96,cv8,0.467865860200466
DTT,96,cv9,0.453193931240716
DTT,96,cv10,0.524226226296963
DTT,96,cv11,0.456160410862503
DTT,96,cv12,0.585253343817273
DTT,96,cv13,0.502064650587053
DTT,96,cv14,0.578830019280699
DTT,96,cv15,0.443537279928761
DTT,96,cv16,0.566131269053336
DTT,96,cv17,0.55708558201917
DTT,96,cv18,0.498283310406189
DTT,96,cv19,0.460970964998444
DTT,96,cv20,0.455240058639199
DTT,96,cv21,0.485979364768539
DTT,96,cv22,0.544248325548629
DTT,96,cv23,0.558148125142796
DTT,96,cv25,0.501876921965984
DTT,96,cv24,0.433575280429015
DTT,96,cv26,0.519818601700674
DTT,96,cv27,0.482153775740732
DTT,96,cv28,0.520446684551226
DTT,96,cv29,0.507200391538558
DTT,192,cv0,0.527578375707984
DTT,192,cv2,0.517193003422376
DTT,192,cv3,0.562144146913359
DTT,192,cv1,0.52540468901604
DTT,192,cv4,0.51621327535888
DTT,192,cv5,0.502409005533413
DTT,192,cv6,0.47377298011268
DTT,192,cv7,0.565082733903998
DTT,192,cv8,0.488803092452807
DTT,192,cv9,0.474447730916153
DTT,192,cv10,0.515723670079012
DTT,192,cv11,0.48019245060792
DTT,192,cv12,0.571823927877223
DTT,192,cv13,0.538801755954526
DTT,192,cv14,0.57288806446642
DTT,192,cv15,0.521523422492226
DTT,192,cv16,0.594442253220261
DTT,192,cv17,0.515544717649334
DTT,192,cv18,0.540418805146134
DTT,192,cv19,0.484037723454436
DTT,192,cv20,0.538001763586684
DTT,192,cv21,0.512040890800897
DTT,192,cv22,0.556872714316534
DTT,192,cv23,0.534161000521821
DTT,192,cv25,0.544993503265826
DTT,192,cv24,0.503257884445199
DTT,192,cv26,0.554121249229636
DTT,192,cv27,0.471268922949413
DTT,192,cv28,0.517910772379671
DTT,192,cv29,0.54355762124089
DTT,384,cv0,0.546447124179138
DTT,384,cv2,0.524014948626351
DTT,384,cv3,0.561377403165228
DTT,384,cv1,0.518017268902059
DTT,384,cv4,0.517174554074239
DTT,384,cv5,0.49926780834246
DTT,384,cv6,0.483199033222807
DTT,384,cv7,0.559976203466695
DTT,384,cv8,0.515315083890186
DTT,384,cv9,0.475027864786943
DTT,384,cv10,0.503561291639587
DTT,384,cv11,0.492271794986005
DTT,384,cv12,0.546783194860523
DTT,384,cv13,0.540841781530632
DTT,384,cv14,0.561681292634897
DTT,384,cv15,0.539947704548564
DTT,384,cv16,0.56221829323585
DTT,384,cv17,0.535489259953816
DTT,384,cv18,0.555774912146512
DTT,384,cv19,0.511269556104798
DTT,384,cv20,0.524032372492759
DTT,384,cv21,0.537252956769452
DTT,384,cv22,0.584603782923862
DTT,384,cv23,0.573631419389446
DTT,384,cv24,0.516191595735785
DTT,384,cv25,0.543960747186847
DTT,384,cv27,0.487450865014843
DTT,384,cv26,0.543902947081644
DTT,384,cv28,0.515598967510918
DTT,384,cv29,0.515868284356727
DTT,1000,cv1,0.586837678957254
DTT,1000,cv0,0.56882096276749
DTT,1000,cv4,0.543798928996806
DTT,1000,cv2,0.571845304600702
DTT,1000,cv3,0.643622839704732
DTT,1000,cv5,0.596930993799927
DTT,1000,cv6,0.545835262900063
DTT,1000,cv7,0.600731438512987
DTT,1000,cv8,0.581014495119591
DTT,1000,cv9,0.526726110877085
DTT,1000,cv10,0.553381916550856
DTT,1000,cv11,0.532374731103911
DTT,1000,cv12,0.615330272152562
DTT,1000,cv13,0.589444496746055
DTT,1000,cv14,0.663075784307811
DTT,1000,cv16,0.654036283774203
DTT,1000,cv15,0.550296068160777
DTT,1000,cv17,0.57117092574911
DTT,1000,cv18,0.594863158532859
DTT,1000,cv19,0.538535269062626
DTT,1000,cv20,0.632026179788749
DTT,1000,cv21,0.557741998191712
DTT,1000,cv22,0.624452554215025
DTT,1000,cv23,0.578422320436546
DTT,1000,cv24,0.558630325240393
DTT,1000,cv25,0.585066581462486
DTT,1000,cv26,0.592478664231414
DTT,1000,cv27,0.566115900936795
DTT,1000,cv28,0.571103389756977
DTT,1000,cv29,0.597435748436762
DTT,2000,cv0,0.584308436447245
DTT,2000,cv2,0.603093795651844
DTT,2000,cv1,0.578076317728247
DTT,2000,cv4,0.581887625320027
DTT,2000,cv3,0.604543580993532
DTT,2000,cv5,0.557438010160421
DTT,2000,cv6,0.550279311366299
DTT,2000,cv7,0.619496822753071
DTT,2000,cv8,0.575745077098008
DTT,2000,cv9,0.523513258005089
DTT,2000,cv10,0.566154639749353
DTT,2000,cv11,0.521961448664965
DTT,2000,cv12,0.62613491470795
DTT,2000,cv13,0.605716057504807
DTT,2000,cv14,0.650119143870476
DTT,2000,cv15,0.532749602788746
DTT,2000,cv16,0.651076762443476
DTT,2000,cv17,0.576017493764427
DTT,2000,cv18,0.579297673220967
DTT,2000,cv19,0.569473144955044
DTT,2000,cv20,0.639460200160383
DTT,2000,cv21,0.572601880039802
DTT,2000,cv22,0.608297200830776
DTT,2000,cv23,0.5974065451863
DTT,2000,cv24,0.549995782254066
DTT,2000,cv25,0.589811602707664
DTT,2000,cv26,0.587003998873466
DTT,2000,cv27,0.571971069707157
DTT,2000,cv28,0.59393578102495
DTT,2000,cv29,0.637816258246828
DTT,3000,cv0,0.633001252743338
DTT,3000,cv1,0.593565890422532
DTT,3000,cv2,0.609600284643308
DTT,3000,cv3,0.643499964677601
DTT,3000,cv4,0.610966734246655
DTT,3000,cv5,0.605501641821501
DTT,3000,cv6,0.564518865544643
DTT,3000,cv7,0.637823220025789
DTT,3000,cv8,0.624867573918042
DTT,3000,cv9,0.563291736756432
DTT,3000,cv10,0.567779581720194
DTT,3000,cv11,0.587378592602033
DTT,3000,cv12,0.609028193286702
DTT,3000,cv13,0.621889010483663
DTT,3000,cv14,0.644149672649603
DTT,3000,cv15,0.596790314474639
DTT,3000,cv16,0.643509165403899
DTT,3000,cv17,0.590715039333145
DTT,3000,cv18,0.641298971036469
DTT,3000,cv19,0.565088080863606
DTT,3000,cv20,0.625740759550637
DTT,3000,cv21,0.580824686704276
DTT,3000,cv22,0.653358546249775
DTT,3000,cv23,0.614819153230398
DTT,3000,cv24,0.594652831592274
DTT,3000,cv25,0.628889408589171
DTT,3000,cv26,0.615241913290342
DTT,3000,cv27,0.58991965488705
DTT,3000,cv28,0.610195561331178
DTT,3000,cv29,0.629525707845587
DTT,4000,cv0,0.622813837469341
DTT,4000,cv1,0.594944671852689
DTT,4000,cv3,0.621210713663891
DTT,4000,cv2,0.601018588617632
DTT,4000,cv4,0.580876270559619
DTT,4000,cv5,0.563658700780576
DTT,4000,cv6,0.513866930622983
DTT,4000,cv7,0.627134831248644
DTT,4000,cv8,0.605318685799783
DTT,4000,cv9,0.537473778428036
DTT,4000,cv10,0.572883577361915
DTT,4000,cv12,0.604280962768614
DTT,4000,cv11,0.563666177010852
DTT,4000,cv13,0.626259723319715
DTT,4000,cv14,0.653639573826404
DTT,4000,cv15,0.565635602001303
DTT,4000,cv16,0.647091888747315
DTT,4000,cv18,0.613276440355042
DTT,4000,cv17,0.598121305208404
DTT,4000,cv19,0.565181857878791
DTT,4000,cv20,0.608817421504789
DTT,4000,cv21,0.572426929787442
DTT,4000,cv22,0.632806351612652
DTT,4000,cv23,0.601037489324333
DTT,4000,cv24,0.566032361687197
DTT,4000,cv25,0.625428544968038
DTT,4000,cv26,0.591687173752528
DTT,4000,cv27,0.601077330661576
DTT,4000,cv28,0.587894472276869
DTT,4000,cv29,0.633552916569179
PH,12,cv0,0.348941464632066
PH,12,cv1,0.276276847411998
PH,12,cv4,0.333642863963948
PH,12,cv2,0.22124031525541
PH,12,cv3,0.208445637953786
PH,12,cv5,0.207934384195948
PH,12,cv6,0.311930194822674
PH,12,cv7,0.291409144116196
PH,12,cv8,0.322144102789801
PH,12,cv9,0.318691135915918
PH,12,cv10,0.341137452370669
PH,12,cv11,0.307222478999493
PH,12,cv12,0.254031573349977
PH,12,cv13,0.287891054254199
PH,12,cv14,0.347956543742332
PH,12,cv15,0.305532419835209
PH,12,cv16,0.318495952669241
PH,12,cv17,0.296150684056743
PH,12,cv18,0.280138398013127
PH,12,cv19,0.291972851355284
PH,12,cv20,0.347495153861117
PH,12,cv21,0.401497460785926
PH,12,cv22,0.299426165940583
PH,12,cv23,0.265796527105679
