seqname,DTT,PH,EW,cv0,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10,cv11,cv12,cv13,cv14,cv15,cv16,cv17,cv18,cv19,cv20,cv21,cv22,cv23,cv24,cv25,cv26,cv27,cv28,cv29
MG_1053,68.2801963942347,229.594349214068,111.105905872007,1,1,1,1,4,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,1,1
MG_1054,67.0586294010084,211.148787082155,69.0967157412369,1,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
MG_1055,67.5821581123911,210.789368184756,99.1084760617228,1,4,4,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1
MG_1056,71.24685909207,208.351770790856,99.5942966283805,1,1,1,1,1,1,4,1,1,1,4,4,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,1,4
MG_1057,70.5488208102264,238.252658293724,83.8207160493459,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,4,1,1
MG_1058,70.7233303806873,223.170888406702,99.9307338601626,4,1,4,1,4,4,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1
MG_1059,69.1340584655493,200.832089740698,99.5412146717964,1,1,4,4,4,1,4,1,4,4,1,1,4,4,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1
MG_106,70.0252920988437,183.588730346964,98.6979966534197,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,1
MG_1060,66.011571978243,209.807878118781,86.1082294683786,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1061,70.6441963390365,208.930155003645,111.591931864963,1,1,4,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
MG_1062,66.1860815487039,234.174636188617,92.1303261127775,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4
MG_1063,73.3409739376008,205.688384602436,74.2458941475934,1,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1064,70.3743112397655,196.19603936343,116.359830876356,4,1,1,4,4,4,1,1,1,4,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,1,1,1,4,4
MG_1065,64.4409858440949,175.414254398422,89.3790748837304,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1
MG_1066,78.0603400764787,214.335886827631,108.255084227565,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1067,66.5351006896257,219.134337712833,59.6193177451299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1
MG_1068,66.3605911191648,224.825136921655,90.0155637067964,4,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1069,78.7586421737502,220.380505042766,76.7608417949653,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,1
MG_107,71.5325127352055,221.002958721342,81.6865323340999,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1
MG_1070,67.0586294010084,185.017190067397,103.24184783083,1,4,1,1,4,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1
MG_1071,70.3743112397655,196.509378915009,70.3671235318335,4,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
MG_1072,65.6625528373212,196.472515438353,91.9367772770852,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,1,1,4,1,4,1,1,1,1
MG_1073,65.8370624077821,206.591539780516,106.920574684582,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1
MG_1074,69.8507825283828,211.604972605777,77.8661666551524,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,1,1,1
MG_1075,69.1527442465392,219.57669943271,85.9900217910411,1,1,1,1,1,4,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
MG_1076,69.501763387461,197.689010168012,121.237992545477,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1
MG_1077,69.501763387461,223.696192949055,89.1868250345482,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1
MG_1078,65.8370624077821,227.852549942056,97.1820806088122,1,1,4,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1079,69.501763387461,199.135901626773,92.6395284116773,1,1,1,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,4,1,4,4,4
MG_108,67.756667682852,218.046865151472,81.0214023646281,1,1,4,1,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1
MG_1080,66.011571978243,183.551866870308,90.3546129734588,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,4,1
MG_1081,70.7233303806873,230.465248850074,96.1831607712538,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,4,1,1,1,1,1,4,1,1,1,4
MG_1082,73.1664643671399,202.518125609991,92.0731707515357,1,4,1,1,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
MG_1083,71.0723495216091,233.216185795553,96.8794169888831,4,4,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,1,1,1,4,1,4,4,1,1,4,1,1,1
MG_1084,69.6762729579219,231.883571114426,93.9592976553662,1,1,1,1,1,4,1,4,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1
MG_1085,67.4076485419302,212.139493017294,83.7336840279876,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1
MG_1086,69.3272538170001,212.111845409802,108.027310305838,4,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4
MG_1087,71.9448973739135,197.172921494823,57.0629143382853,1,1,1,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1
MG_1088,66.1860815487039,192.601850389438,94.5828106814259,4,1,1,1,1,1,1,1,1,4,1,4,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
MG_1089,70.5488208102264,240.699471556788,107.579160318357,1,4,1,4,1,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
MG_109,67.756667682852,206.637619126337,84.1233796692749,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,4,1,4,1,1
MG_1090,66.011571978243,219.344459529775,91.0729519383788,1,4,1,1,4,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1
MG_1091,68.6292155351565,256.993128238888,106.866017294801,1,4,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
MG_1092,68.8037251056174,231.879884766761,94.8439067610884,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
MG_1093,73.1314822483097,205.572986892917,104.038217727626,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4
MG_1094,68.4547059646956,213.337556008625,100.160654293198,1,1,1,1,4,1,4,1,1,1,1,1,4,1,1,4,4,1,1,1,1,4,1,4,1,1,1,1,4,1
MG_1095,68.2801963942347,190.661909930398,132.185842089512,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,4,4,1,1,4,4,1,1,1,1,1,1,4,1,1
MG_1096,71.0723495216091,260.347704614614,108.523522750547,1,4,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
MG_1097,70.6441963390365,185.824666042392,96.1758695957919,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,4,1,1,1,4
MG_1098,71.0723495216091,227.797254727072,70.3541828073612,4,4,1,1,1,1,4,4,1,1,1,1,4,1,1,1,4,1,1,4,1,1,4,1,4,1,1,1,1,1
MG_1099,66.8841198305475,202.444398656679,84.8638013877208,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
MG_110,62.1723614281032,183.478139916995,91.3145632375357,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,4,1
MG_1100,71.24685909207,189.606692911111,116.660367745302,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4
MG_1101,72.4684260852963,211.614188474942,70.5223845962327,1,1,4,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,4,4,1,1,1,4,4,4,1,1,1
MG_1102,66.3367976607027,246.14252835185,99.9505580229008,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,1,1,1
MG_1103,67.9311772533129,199.615126823305,75.2694946992276,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1
MG_1104,63.2194188508686,181.699477168327,106.258092094393,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,1,1,1,4,1,4,1,1,4
MG_1105,71.4213686625309,225.437992221066,95.4245532666065,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1
MG_1106,69.3272538170001,165.218431140414,106.873811207627,4,1,4,1,1,4,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1
MG_1107,66.1860815487039,185.017190067397,108.62744159342,1,1,1,1,4,1,1,4,1,1,4,1,4,1,1,1,1,1,4,4,1,4,1,4,1,1,4,1,1,1
MG_1108,68.9782346760783,202.290800843421,97.8753838788864,1,1,1,1,1,1,4,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
MG_1109,66.5351006896257,219.853175507632,95.480409641338,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,4,4,1,4,1,1,1,4,1,1,1,1
MG_111,66.3605911191648,207.854113855996,91.4457607690632,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1
MG_1110,68.2801963942347,214.351301616674,74.8018599296829,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
MG_1111,70.1998016693046,193.053427978478,60.2636145382053,1,1,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,4,1,1,1
MG_1112,69.1527442465392,227.870981680384,78.7263380100109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,4,1
